noxchi;russian
ДIагIерташ-м ву со;Стараюсь
ДIаволлу;Стараюсь
Дика гIуллакх хуьлу сан-м!;У меня все хорошо (Все получается у меня)!
Жимма-тIама хIума хуьлу;Немножко что-то получается
Хуьлуш а, ца хуьлуш а нисло;Бывает и получается и не получается
ХIумма а ца хуьлу;Ничего не получается
ХIумма а дац;Нормально (Ничего)
Массо а хIума дика ДУ;Все хорошо
КЪАСТАР;ПРОЩАНИЕ
Аса дан хIумма а дуй?;Чем я могу быть полезен? (Что я могу сделать?)
Со мукъа ву-кхI;Я свободен!
Эшахь, со мукъа ву-кх!;Я к вашим услугам! (Если нужно, я свободен!)
Эшахь, со мукъа ву-кх, кхоавай ма Iе!;Располагайте мной, если нужно, я свободен!
Дан хIума делахь, со кийча ву-кх!;Если что-то нужно сделать, я готов!
ХIумма а оьший?;Что-нибудь нужно?
Со хьажа хIумма а дуй?;Чем я могу быть полезен? (Чем могу помочь?)
Дела реза хуьйла, хIума ца оьшу;Спасибо, ничего не нужно
Дала дукха вахавойла!;Пусть Всевышний продлит твою жизнь!
Дала дукха яхайойла!;Пусть Всевышний продлит твою жизнь!
Бехк ма билла, со сиха ву! ;Извините, я тороплюсь!
Со ваха везаш ву;Я должен идти
Со тIаьхьавуьсуш ву;Я опаздываю
Со яха езаш ю;Я должна идти
Со тIаьхьаюьсуш ю;Я опаздываю
Сан кхин Iан йиш яц;Я больше не могу оставаться
 одика йойла!;До свидания!
Дела реза хуьйла!;Спасибо!
Йиънарг а, мелларг а дала caгIa йойла!;Все было очень вкусно! (Съеденное и выпитое пусть будет пожертвованием!)
Хьанал хуьйла!;На здоровье!
ЦIахь маршалла ло!;Передавай дома привет!
Массаьрга а маршалла ло!;Всем передавай привет!
Маршалла хуьйла хьуна а!;И тебе привет!
Дала аьтто йойла!;Дай Бог удачи (успехов)!
Массера а йойла!;Всем удачи (успехов)!
Йола ала цуьнга!;Скажи ей, пусть приходит!
Вола ала цуьнга!;Скажи ему, пусть приходит!
Баркалла, эр ду;Спасибо, скажу
Воьллахь, ца вогIуш ма Iелахь!;Приходи, обязательно приходи!
Йоьллахь, ца йогIуш ма Iелахь!;
Йиш хилча, Йола!;Будет возможность, приходи!
Йиш хилча, вола!;
ЙогIур ю!;Приду!
BoгIyp ву!;
Марша Iойла!;До свидания! (Оставайся свободным!)
Марша г!ойла!;Счастливо (Иди свободным!)
Некъ дика хуьйла!;Счастливого пути!
Буьйса декъал йойла!;Спокойной ночи!
Хьа а йойла!;И тебе!
Шу а йойла!;И вам!
Язделахь! Телефон тохалахь!;Пиши! Звони!
Язидийр ду. Тухур ю;Напишу. Позвоню
Гур ду вай!;Увидимся!
Дала мукъалахь!;Дай Бог!
ШЕНА TIE ТИДАМ БАХИЙТАР;ОБРАЩЕНИЕ
Хезий хьуна;Послушай (так обращается жена к мужу, муж к жене)
Бехк ма биллалахь...;Извини...
