noxchi,russian
доттагIалла,дружба
марша догIийла,добро пожаловать
маршалла хуьлда,здравствуйте
Iуьйре дика хуьлда,доброе утро
алахьа,"скажите, пожалуйста"
баркалла,спасибо
собар де,подождите
кIеззиг собар де,минутку
извините,бехк ма билла
хIаъ,да
новкъахь,в пути
вокзал,вокзал
цIерпошт,поезд
вагон,вагон
паргIат,свободно
мукъа вац,занято
автобус,автобус
лелорхо,водитель
йигархо,водитель
тIехуу машен,легковая машина
чамда,чемодан
портфель,портфель
тIоьрмаг,сумка
палто,пальто
куй,шляпа
хьешацIа,гостиница
г1ат,этаж
чоь,комната
догIа,ключ
ваннин чоь,ванная
хьаштагIа,туалет
телевизор,телевизор
ресторан,ресторан
официант,официант
стол,стол
г1ант,стул
бошхап,тарелка
урс,нож
мIара,вилка
Iайг,ложка
кад,чашка
стака,стакан
чимтосург,пепельница
могушаллина,на здоровье
хьанал хуьлда,на здоровье
кхаллар,хлеб
бепиг,хлеб
туьха,соль
шура,молоко
йетта шура,кефир
хи,вода
гIала,город
цIа,дом
аьрру агIор,налево
аьтту агIор,направо
уллаьхь,близко
гена ду,далеко
пошта,почта
кехат,письмо
конверт,конверт
открытка,открытка
почтови марка,почтовая марка
зIе,телеграмма
туька,магазин
универмаг,универмаг
йоккха ю,велико
жима ю,мало
кIезигду ю,мало
еза ю,дорого
йорах ю,дешево
сувенир,сувенир
беснаш,цвета
кIайн,белый
сира,серый
сирла,светлый
бодане,темный
цIен,красный
сийна,синий
можаниг,желтый
баьццарниг,зеленый
боьмаша,коричневый
хан,время
хIинцца,сейчас
хьалха,раньше
маца,когда
де,день
сахьт,час
кIира,неделя
бутт,месяц
шо,год
тахана,сегодня
селхана,вчера
кхана,завтра
Iуьйранна,утром
дийнахь,днем
сарахь,вечером
буса,ночью
буьйсан,ночью
оршот,понедельник
шинара,вторник
кхаара,среда
еара,четверг
пIераска,пятница
шот,суббота
кIиранде,воскресенье
доьзал,семья
да,отец
нана,мать
ваша,брат
йиша,сестра
мар,муж
зуда,жена
кIант,сын
йоI,дочь
деда,дедушка
денана,бабушка
ваша,дядя
корматалла,профессия
белхало,рабочий
пуллакххо,служащий
лор,врач
инженер,инженер
техник,техник
архитектор,архитектор
хьехархо,преподаватель
дешархо,студент
латталелорхо,земледелец
мотт,язык
Хьун лаахь,Если ты хочешь
Иштта сингаттаме х1унда ду,Почему так скучно
Хьун со оьшуш вуй?,Я тебе нужен?
Со реза ву,Согласен
Даита сурт сун,Пришли мне фото
Мархи батахь сахин ло уьштцан конкурс йити,Оставь конкурс и в месяц Рамадана дай милостыню
Со яц и,Это не я
Делахь соьг язам ц ло яз е соьг,"Я не могу писать, на пиши мне"
"Сун доккха Баркал ала лаьъ хьоьга ,хьо сан дахарехь хиларн,ахь са х1ора де хазаъ, самукъане латта дарн.","Хочу сказать тебе огромное спасибо, за то что ты есть в моей жизни, за то что с каждым прожитым нами днём ты делаешь ее удивительной, ярче и интересней."
син-х1оттам муха бу хьан,Как твоë настроение
Хьой мич урмехь ву ала?,Скажи на какой улице ты?
Д1акъастина,Разведенный
Сун хаз хета хьан йелар,Мне нравится твоя улыбка
Къовсур ву хьо,Поспорим тебя
Вакъ-вакъ бахар,Квакала
Ас ня1алт ола хьун,Я тебя заклинаю
ларт1акх ватс он,Ты больной
Ма жима ю,Какая маленькая
Ц1а маца даг1а дагахь ду шу?,Когда домой собираетесь?
Со такх шу де да ву,Тогда я ваш дедушка
Хьо йижина х1унда йац?,Почему ты не спишь?
Хьо вижина х1унда вац?,Почему ты не спишь?
Болх мух бу?,Как работа
Вай доьвзаш дуй?,мы знакомы?
Суйр дик хийл хьа,Добрый вечер
Ас ният до даггар Аллах1 дуьха ши рака1ат 1уьйра суннат ламаз да,"Я намереваюсь выполнить два ракяата сунны утренней молитвы, делая это искренне ради Всевышнего."
Цун  нохчи мотт 1аьмна,Она выучила чеченский язык
хьа ц1е х1у ю,Как тебя зовут?
Дуьне хьизаш ду бохург хар ду хьун,"Вот это и значит, что земля вращается, — афоризм, в котором имеется ввиду, что не всегда удача сопутствует одному конкретному человеку."
Цхьа жим нохчий мотт хаа суна,Я немножко знаю чеченский
