noxchi,russian
доттагіалла,дружба
марша догіийла,добро пожаловать
маршалла хуьлда,здравствуйте
іуьйре дика хуьлда,доброе утро
алахьа,"скажите, пожалуйста"
баркалла,спасибо
собар де,подождите
кіеззиг собар де,минутку
извините,бехк ма билла
хіаъ,да
новкъахь,в пути
вокзал,вокзал
ціерпошт,поезд
вагон,вагон
паргіат,свободно
мукъа вац,занято
автобус,автобус
лелорхо,водитель
йигархо,водитель
тіехуу машен,легковая машина
чамда,чемодан
портфель,портфель
тіоьрмаг,сумка
палто,пальто
куй,шляпа
хьешаціа,гостиница
г1ат,этаж
чоь,комната
догіа,ключ
ваннин чоь,ванная
хьаштагіа,туалет
телевизор,телевизор
ресторан,ресторан
официант,официант
стол,стол
г1ант,стул
бошхап,тарелка
урс,нож
міара,вилка
іайг,ложка
кад,чашка
стака,стакан
чимтосург,пепельница
могушаллина,на здоровье
хьанал хуьлда,на здоровье
кхаллар,хлеб
бепиг,хлеб
туьха,соль
шура,молоко
йетта шура,кефир
хи,вода
гіала,город
ціа,дом
аьрру агіор,налево
аьтту агіор,направо
нийсса,прямо
дуьххьал,прямо
дуьххьалдіа,прямо
уллаьхь,близко
гена ду,далеко
пошта,почта
кехат,письмо
конверт,конверт
открытка,открытка
почтови марка,почтовая марка
зіе,телеграмма
туька,магазин
универмаг,универмаг
йоккха ю,велико
жима ю,мало
кіезигду ю,мало
еза ю,дорого
йорах ю,дешево
сувенир,сувенир
беснаш,цвета
кіайн,белый
сира,серый
сирла,светлый
бодане,темный
ціен,красный
сийна,синий
можаниг,желтый
баьццарниг,зеленый
боьмаша,коричневый
хан,время
хіинцца,сейчас
хьалха,раньше
маца,когда
де,день
сахьт,час
кіира,неделя
бутт,месяц
шо,год
тахана,сегодня
селхана,вчера
кхана,завтра
іуьйранна,утром
дийнахь,днем
сарахь,вечером
буса,ночью
буьйсан,ночью
оршот,понедельник
шинара,вторник
кхаара,среда
еара,четверг
піераска,пятница
шот,суббота
кіиранде,воскресенье
доьзал,семья
да,отец
нана,мать
ваша,брат
йиша,сестра
мар,муж
зуда,жена
кіант,сын
йоі,дочь
деда,дедушка
денана,бабушка
ваша,дядя
корматалла,профессия
белхало,рабочий
пуллакххо,служащий
лор,врач
инженер,инженер
техник,техник
архитектор,архитектор
хьехархо,преподаватель
дешархо,студент
латталелорхо,земледелец
мотт,язык
Хьун лаахь,Если ты хочешь
Х1ар х1умш ма лил ди ал эхь дун,"Скажи не делать это, неприлично же"
Иштта сингаттаме х1унда ду,Почему так скучно
Хьун со оьшуш вуй?,Я тебе нужен?
Со реза ву,Согласен
Даита сурт сун,Пришли мне фото
Мархи батахь сахин ло уьштцан конкурс йити,Оставь конкурс и в месяц Рамадана дай милостыню
Со яц и,Это не я
Делахь соьг язам ц ло яз е соьг,"Я не могу писать, на пиши мне"
"Сун доккха Баркал ала лаьъ хьоьга ,хьо сан дахарехь хиларн,ахь са х1ора де хазаъ, самукъане латта дарн.","Хочу сказать тебе огромное спасибо, за то что ты есть в моей жизни, за то что с каждым прожитым нами днём ты делаешь ее удивительной , ярче и интересней."
син-х1оттам муха бу хьан,Как твоë настроение
Хьой мич урмехь ву ала?,Скажи на какой улице ты?
Д1акъастина,Разведенный
Сун хаз хета хьан йелар,Мне нравится твоя улыбка
Къовсур ву хьо,Поспорим тебя
Вакъ-вакъ бахар,Квакала
Ас ня1алт ола хьун,Я тебя заклинаю
ларт1акх ватс он,Ты больной
Ма жима ю,Какая маленькая
Ц1а маца даг1а дагахь ду шу?,Когда домой собираетесь?
Со такх шу де да ву,Тогда я ваш дедушка
Хьо йижина х1унда йац?,Почему ты не спишь?
